"State","PWGTP"
"AK",1426
"AL",8310
"AR",7050
"AZ",37418
"CA",454146
"CO",20920
"CT",17277
"DC",1818
"DE",3999
"FL",91374
"GA",46104
"HI",4202
"IA",6811
"ID",6916
"IL",75987
"IN",18822
"KS",8945
"KY",7175
"LA",4313
"MA",20648
"MD",24782
"ME",528
"MI",15399
"MN",11339
"MO",5500
"MS",3661
"MT",306
"NC",32243
"ND",1286
"NE",5214
"NH",3179
"NJ",57040
"NM",11526
"NV",20139
"NY",109287
"OH",8311
"OK",9499
"OR",13185
"PA",19277
"RI",6601
"SC",11716
"SD",977
"TN",12202
"TX",223405
"UT",9830
"VA",33848
"VT",53
"WA",37250
"WI",11226
"WV",903
"WY",929
